iter	RMSE
0	0.01244256817
1	0.01176509743
2	0.01118446883
3	0.01063791122
4	0.01012376291
5	0.009674714117
6	0.009220434656
7	0.008832788272
8	0.008465622922
9	0.008138845581
10	0.00783894056
11	0.007597104613
12	0.007388521907
13	0.007183276369
14	0.006995847057
15	0.006788087216
16	0.006625589903
17	0.006489093491
18	0.006295438832
19	0.006147301052
20	0.005998567178
21	0.005898880618
22	0.00578071661
23	0.005686235446
24	0.005591420483
25	0.005515774942
26	0.005439200127
27	0.005376481943
28	0.005291616452
29	0.005227625205
30	0.005140232221
31	0.005075955405
32	0.004984583757
33	0.004896633188
34	0.004830954633
35	0.004761515174
36	0.004701292506
37	0.004648574016
38	0.004602515275
39	0.004538957607
40	0.004508785066
41	0.00444162071
42	0.004389500643
43	0.004341671716
44	0.004296494943
45	0.004255195871
46	0.004186865911
47	0.004157279308
48	0.004114549125
49	0.004071872661
50	0.004043116243
51	0.004002419387
52	0.003971538078
53	0.003938602128
54	0.003911395563
55	0.003848654618
56	0.003790451833
57	0.003723987336
58	0.00367123919
59	0.00365641131
60	0.003629220514
61	0.003581919458
62	0.003571593394
63	0.003543421618
64	0.003494161619
65	0.003469735715
66	0.003410949344
67	0.003369589021
68	0.003358143548
69	0.003331439863
70	0.00330988769
71	0.003281249283
72	0.003249185414
73	0.003224473758
74	0.003201900182
75	0.003188919144
76	0.00316783414
77	0.0031374943
78	0.003118655689
79	0.00308250145
80	0.003037505347
81	0.003014116873
82	0.002987422123
83	0.002957712972
84	0.002916209041
85	0.002890945432
86	0.002862120756
87	0.002837326017
88	0.002806470066
89	0.002767681293
90	0.002747707582
91	0.002725707419
92	0.002718863456
93	0.002702346161
94	0.002679064446
95	0.002655269287
96	0.002618421483
97	0.002580865876
98	0.002549748972
99	0.002543063877
100	0.002523130814
101	0.002508387133
102	0.002493032947
103	0.00247375094
104	0.002454942521
105	0.002435828953
106	0.002432319944
107	0.002403558475
108	0.002397480077
109	0.002380715181
110	0.002354926109
111	0.002351211455
112	0.002336613355
113	0.002309310129
114	0.002286066423
115	0.002252509827
116	0.002230758559
117	0.002214416843
118	0.002199604697
119	0.002184545001
120	0.00217016034
121	0.002143196077
122	0.002122733243
123	0.002100733608
124	0.002088743257
125	0.002074361106
126	0.002059725448
127	0.002042173394
128	0.002023668173
129	0.002002297977
130	0.001994341281
131	0.001977721465
132	0.001947868124
133	0.001930198365
134	0.001920329381
135	0.001901828993
136	0.001892758479
137	0.001878058982
138	0.001868759412
139	0.001861629971
140	0.001838543833
141	0.00181875319
142	0.001794376639
143	0.001775910924
144	0.001762469135
145	0.00175767423
146	0.001736330905
147	0.001715440582
148	0.001692769723
149	0.001681388402
150	0.001664723067
151	0.001650766985
152	0.001647840862
153	0.001631879586
154	0.001622593323
155	0.001606539913
156	0.0015962299
157	0.001582226598
158	0.001561666705
159	0.001549830495
160	0.001542214563
161	0.001526284761
162	0.00150508556
163	0.001485651506
164	0.001468161616
